Name,Biosynthetic_class,Structural_class,EXT_k2,EXT_k3,EXT_k4,EXT_k5,EXT_k6,EXT_k7,EXT_k8,EXT_k9,EXT_k10,MACCS_k2,MACCS_k3,MACCS_k4,MACCS_k5,MACCS_k6,MACCS_k7,MACCS_k8,MACCS_k9,MACCS_k10,PubChem_k2,PubChem_k3,PubChem_k4,PubChem_k5,PubChem_k6,PubChem_k7,PubChem_k8,PubChem_k9,PubChem_k10,Sub_k2,Sub_k3,Sub_k4,Sub_k5,Sub_k6,Sub_k7,Sub_k8,Sub_k9,Sub_k10,SubCount_k2,SubCount_k3,SubCount_k4,SubCount_k5,SubCount_k6,SubCount_k7,SubCount_k8,SubCount_k9,SubCount_k10
(+)-Isodihydrocarvone,Terpenoids,MT,0,0,1,0,1,1,0,5,5,1,0,1,1,1,0,0,8,8,0,0,1,1,0,2,2,2,2,0,1,0,0,2,2,2,2,0,1,0,1,0,0,1,1,0,4
"(4a alpha,7 alpha,7a alpha)-Nepetalactone",Terpenoids,MT,0,0,0,4,4,4,4,4,4,1,0,1,1,1,0,0,2,2,0,0,1,1,0,6,6,6,6,0,1,0,4,4,4,4,1,1,1,0,1,0,0,1,1,0,4
"(4a alpha,7 alpha,7a beta)-Nepetalactone",Terpenoids,MT,0,0,0,4,4,4,4,4,4,1,0,1,1,1,0,0,2,2,0,0,1,1,0,6,6,6,6,0,1,0,4,4,4,4,1,1,1,0,1,0,0,1,1,0,4
"(4a alpha,7 beta,7a beta)-Nepetalactone",Terpenoids,MT,0,0,0,4,4,4,4,4,4,1,0,1,1,1,0,0,2,2,0,0,1,1,0,6,6,6,6,0,1,0,4,4,4,4,1,1,1,0,1,0,0,1,1,0,4
1-(Cyclohexylmethyl)-4-isopropylcyclohexane,Others,Others,0,0,1,0,5,2,2,0,9,0,1,0,2,0,6,6,6,6,0,2,2,2,2,0,0,3,1,1,0,3,3,3,1,0,4,4,0,1,0,1,1,0,7,7,7
"1,1-diethoxy-ethane",FADs,Aliphatics and C5 branched,0,0,1,0,5,2,2,0,3,0,1,0,4,4,4,4,4,1,0,2,2,2,2,0,7,7,7,0,1,0,0,2,2,2,2,0,1,0,1,0,0,6,2,2,2
"1,2- benzenedicarboxylic acid, diisooctyl ester",Shikimate_derived_Aromatics,BP,0,2,2,2,2,0,7,7,7,0,1,0,4,4,4,4,4,1,1,1,0,0,3,3,3,1,0,0,2,2,2,0,3,1,0,5,0,1,0,1,1,0,6,6,6
"1,2,3-trimethoxybenzene",Shikimate_derived_Aromatics,BP,0,2,2,2,2,0,1,1,0,0,2,2,0,5,5,5,5,5,1,1,0,0,5,5,5,5,5,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
"1,2,3-trimethylbenzene",Shikimate_derived_Aromatics,BP,0,2,2,2,2,0,1,1,0,0,2,2,0,2,2,2,0,9,1,1,0,0,3,3,3,1,0,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
"1,2,4-trimethoxybenzene",Shikimate_derived_Aromatics,BP,0,2,2,2,2,0,1,1,0,0,2,2,0,5,5,5,5,5,1,1,0,0,5,5,5,5,5,0,1,0,0,5,5,5,5,2,1,0,3,3,3,3,3,3,3
