Family,precision,recall,f1-score,support
Acoraceae,1,1,1,2
Araceae,0.863636364,0.76,0.808510638,25
Apiaceae,0.710526316,0.692307692,0.701298701,39
Arecaceae,1,0.916666667,0.956521739,12
Amaryllidaceae,0,0,0,2
Orchidaceae,0.545454545,0.75,0.631578947,48
Asteraceae,0.674418605,0.743589744,0.707317073,39
Boraginaceae,0.333333333,0.25,0.285714286,4
Brassicaceae,0.666666667,0.666666667,0.666666667,3
Winteraceae,0.666666667,0.8,0.727272727,10
Caryophyllaceae,1,0.888888889,0.941176471,9
Cactaceae,0.75,0.5,0.6,12
Chloranthaceae,0,0,0,1
Commelinaceae,0,0,0,1
Zamiaceae,0,0,0,4
Cycadaceae,1,1,1,2
Caprifoliaceae,1,0.75,0.857142857,4
Primulaceae,1,0.666666667,0.8,3
Lecythidaceae,0,0,0,3
Polemoniaceae,1,1,1,4
Actinidiaceae,0,0,0,2
Fabaceae,0.76,0.826086957,0.791666667,23
Apocynaceae,0.875,0.7,0.777777778,10
Gentianaceae,1,1,1,2
Rubiaceae,0,0,0,3
Geraniaceae,1,0.571428571,0.727272727,7
Acanthaceae,0,0,0,1
Lamiaceae,0.669724771,0.879518072,0.760416667,83
Oleaceae,0.6,0.642857143,0.620689655,14
Orobanchaceae,1,1,1,10
Plantaginaceae,0,0,0,2
Verbenaceae,0,0,0,5
Lauraceae,0.777777778,0.777777778,0.777777778,27
Liliaceae,1,1,1,2
Annonaceae,0.916666667,0.785714286,0.846153846,14
Eupomatiaceae,1,1,1,3
Magnoliaceae,0.65625,0.75,0.7,28
Myristicaceae,0,0,0,1
Hypericaceae,1,0.925925926,0.961538462,27
Rhizophoraceae,0.555555556,0.833333333,0.666666667,6
Violaceae,0,0,0,4
Salicaceae,1,0.666666667,0.8,6
Bixaceae,0,0,0,1
Cistaceae,0,0,0,1
Malvaceae,1,0.5,0.666666667,4
Thymelaeaceae,1,1,1,3
Combretaceae,0,0,0,1
Lythraceae,1,0.5,0.666666667,4
Myrtaceae,0.59375,0.76,0.666666667,25
Cyclanthaceae,0,0,0,1
Cupressaceae,0.5,0.333333333,0.4,3
Pinaceae,1,0.75,0.857142857,4
Piperaceae,0,0,0,1
Cyperaceae,0,0,0,2
Poaceae,0.4375,0.538461538,0.482758621,13
Nelumbonaceae,1,1,1,2
Berberidaceae,1,0.666666667,0.8,3
Ranunculaceae,0.75,0.882352941,0.810810811,17
Moraceae,0.722222222,0.8125,0.764705882,16
Rosaceae,0.777777778,0.823529412,0.8,17
Santalaceae,0,0,0,1
Anacardiaceae,0.666666667,0.4,0.5,10
Burseraceae,0,0,0,1
Meliaceae,0,0,0,2
Rutaceae,1,0.5,0.666666667,6
Sapindaceae,1,1,1,8
Grossulariaceae,0,0,0,3
Solanaceae,0,0,0,1
Vitaceae,1,0.75,0.857142857,4
Zingiberaceae,0.75,0.8,0.774193548,30
accuracy,0.7250,0.7250,0.7250,0.7250
macro avg,0.560279913,0.510870556,0.526094023,691
weighted avg,0.703719387,0.725036179,0.705534611,691
