Taxa_Tips,Order,Family,M0,M1,M2
Abies_alba,Pinales,Pinaceae,1,1,1
Abies_cephalonica,Pinales,Pinaceae,1,1,1
Abies_sachalinensis,Pinales,Pinaceae,1,1,1
Acacia_caven,Fabales,Fabaceae,1,1,1
Achillea_ageratum,Asterales,Asteraceae,1,1,1
Achillea_millefolium,Asterales,Asteraceae,1,1,1
Acnistus_arborescens,Solanales,Solanaceae,1,1,1
Acorus_calamus,Acorales,Acoraceae,1,1,1
Acteae_asiatica,Ranunculales,Ranunculaceae,1,1,1
Acteae_japonica,Ranunculales,Ranunculaceae,1,1,1
Actaea_pachypoda,Ranunculales,Ranunculaceae,1,1,1
Actaea_rubra,Ranunculales,Ranunculaceae,1,1,1
Actaea_simplex,Ranunculales,Ranunculaceae,1,1,1
Actaea_spicata,Ranunculales,Ranunculaceae,1,1,1
Actinidia_chinensis,Ericales,Actinidiaceae,1,1,1
Aerangis_confusa,Asparagales,Orchidaceae,1,1,1
Aerangis_kirkii,Asparagales,Orchidaceae,1,1,1
Aesculus_hippocastanum,Sapindales,Sapindaceae,1,1,1
Aframomum_sp,Zingiberales,Zingiberaceae,1,1,1
Ageratum_conyzoides,Asterales,Asteraceae,1,1,1
Allamanda_cathartica,Gentianales,Apocynaceae,1,1,1
Allium_fistulosum,Asparagales,Amaryllidaceae,0,1,1
Aloysia_citriodora,Lamiales,Verbenaceae,1,1,1
Aloysia_triphylla,Lamiales,Verbenaceae,1,1,1
Alpinia_galanga,Zingiberales,Zingiberaceae,1,1,1
Alpinia_purpurata,Zingiberales,Zingiberaceae,1,0,0
Alpinia_zerumbet,Zingiberales,Zingiberaceae,1,0,1
Ammandra_decasperma,Arecales,Arecaceae,1,1,1
Amomum_subulatum,Zingiberales,Zingiberaceae,1,1,1
Anacardium_occidentale,Sapindales,Anacardiaceae,1,1,1
Anaphalis_contorta,Asterales,Asteraceae,1,1,1
Anethuum_graveolens,Apiales,Apiaceae,1,1,1
Angelica_sylvestris,Apiales,Apiaceae,1,1,1
Annona_sp,Magnoliales,Annonaceae,1,1,0
Anthriscus_cerefolium,Apiales,Apiaceae,1,1,1
Antirrhinum_majus,Lamiales,Plantaginaceae,0,1,1
Aphandra_natalia,Arecales,Arecaceae,1,1,1
Apium_graveolens,Apiales,Apiaceae,1,1,0
Arnica_montana,Asterales,Asteraceae,1,1,1
Artemisia_annua,Asterales,Asteraceae,1,1,1
Avicennia_marina,Lamiales,Acanthaceae,0,1,1
Backhousia_citriodora,Myrtales,Myrtaceae,0,1,0
Bartsia_alpinia,Lamiales,Orobanchaceae,0,1,1
Bauhinia_sp,Fabales,Fabaceae,1,1,1
Berberis_vulgaris,Ranunculales,Berberidaceae,1,1,1
Boswellia_sp,Sapindales,Burseraceae,1,1,1
Brassica_rapa,Brassicales,Brassicaceae,0,1,1
Bruguiera_gymnorrhiza,Malpighiales,Rhizophoraceae,0,1,1
Bubbia_sp,Canellales,Winteraceae,0,1,0
Calendula_officinalis,Asterales,Asteraceae,1,1,1
Callistemon_citrinus,Myrtales,Myrtaceae,1,1,1
Callistemon_viminalis,Myrtales,Myrtaceae,1,1,0
Cananga_odorata,Magnoliales,Annonaceae,1,1,1
Carduus_pycnocephalus,Asterales,Asteraceae,1,1,1
Carum_carvi,Apiales,Apiaceae,1,1,1
Caryopteris_sp,Lamiales,Lamiaceae,1,1,1
Cassytha_filiformis,Laurales,Lauraceae,1,1,0
Catharanthus_roseus,Gentianales,Apocynaceae,1,1,1
Causonia_japonica,Vitales,Vitaceae,1,1,1
Ceiba_pentandra,Malvales,Malvaceae,0,1,1
Centaurea_armena,Asterales,Asteraceae,1,1,1
Centaurea_depressa,Asterales,Asteraceae,1,1,0
Centella_asiatica,Apiales,Apiaceae,1,1,1
Centratherum_punctatum,Asterales,Asteraceae,1,1,1
Chamaemelum_nobile,Asterales,Asteraceae,1,1,1
Chloranthus_spicatus,Chloranthales,Chloranthaceae,1,1,0
Chrysactinia_mexicana,Asterales,Asteraceae,1,1,1
Chrysanthemum_coronarium,Asterales,Asteraceae,1,1,1
Chrysopogon_nigritanus,Poales,Poaceae,1,0,0
Chrysopogon_zizanioides,Poales,Poaceae,1,1,1
Chukrasia_tabularis,Sapindales,Meliaceae,1,1,1
Cinnamomum_verum,Laurales,Lauraceae,1,1,1
Cistus_ladanifer,Malvales,Cistaceae,1,1,1
Citrus_limon,Sapindales,Rutaceae,1,1,1
Clinopodium_vulgare,Lamiales,Lamiaceae,1,1,0
Conopodium_majus,Apiales,Apiaceae,1,1,1
Coriandrum_sativum,Apiales,Apiaceae,1,1,1
Coryanthes_macrantha,Asparagales,Orchidaceae,1,1,1
Coryanthes_speciosa,Asparagales,Orchidaceae,1,1,0
Corymbia_citriodora,Myrtales,Myrtaceae,1,1,1
Couroupita_guianensis,Ericales,Lecythidaceae,0,1,1
Crassocephalum_crepidiodes,Asterales,Asteraceae,1,1,1
Crinum_sp,Asparagales,Amaryllidaceae,0,1,1
Crithmum_maritimum,Apiales,Apiaceae,1,1,1
Cuminum_cyminum,Apiales,Apiaceae,1,1,1
Cupressus_sempervirens,Pinales,Cupressaceae,1,1,1
Cycas_rumphii,Cycadales,Cycadaceae,1,1,1
Cyclamen_persicum,Ericales,Primulaceae,1,1,1
Cyclamen_purpurascens,Ericales,Primulaceae,1,1,1
Cyclanthus_bipartitus,Pandanales,Cyclanthaceae,1,1,1
Cymbidium_faberi,Asparagales,Orchidaceae,1,1,1
Cymbopogon_citratus,Poales,Poaceae,1,1,1
Cymbopogon_flexuosus,Poales,Poaceae,1,1,1
Cymbopogon_martinii,Poales,Poaceae,1,1,0
Cymbopogon_nardus,Poales,Poaceae,1,1,1
Cymbopogon_winterianus,Poales,Poaceae,1,1,1
Cyperus_articulatus,Poales,Cyperaceae,1,0,1
Cyperus_rotundus,Poales,Cyperaceae,1,0,0
Daphne_mezereum,Malvales,Thymelaeaceae,0,1,1
Dianthus_arenarius,Caryophyllales,Caryophyllaceae,1,1,1
Dianthus_armenia,Caryophyllales,Caryophyllaceae,1,1,1
Dianthus_barbatus,Caryophyllales,Caryophyllaceae,1,1,1
Dianthus_deltoides,Caryophyllales,Caryophyllaceae,1,1,1
Dianthus_glacialis,Caryophyllales,Caryophyllaceae,1,1,1
Dianthus_monspessulanus,Caryophyllales,Caryophyllaceae,1,1,1
Dianthus_superbus,Caryophyllales,Caryophyllaceae,1,1,1
Dianthus_sylvestris,Caryophyllales,Caryophyllaceae,1,1,1
Dictamnus_albus,Sapindales,Rutaceae,1,1,1
Dracocephalum_moldavica,Lamiales,Lamiaceae,1,1,1
Elsholtzia_blanda,Lamiales,Lamiaceae,1,1,1
Elsholtzia_ciliata,Lamiales,Lamiaceae,1,1,1
Elsholtzia_densa,Lamiales,Lamiaceae,1,1,1
Elsholtzia_fruticosa,Lamiales,Lamiaceae,1,1,1
Encephalartos_sp,Cycadales,Zamiaceae,1,1,1
Epidendrum_ciliare,Asparagales,Orchidaceae,1,1,1
Espostoa_sp,Caryophyllales,Cactaceae,0,1,0
Eucalyptus_alba,Myrtales,Myrtaceae,1,1,1
Eucalyptus_camaldulensis,Myrtales,Myrtaceae,1,1,1
Eucalyptus_deglupta,Myrtales,Myrtaceae,1,1,1
Eucalyptus_globulus,Myrtales,Myrtaceae,1,1,1
Eucalyptus_propinqua,Myrtales,Myrtaceae,1,1,1
Eucalyptus_robusta,Myrtales,Myrtaceae,1,1,1
Eucalyptus_saligna,Myrtales,Myrtaceae,1,1,1
Eucalyptus_tereticornis,Myrtales,Myrtaceae,1,1,1
Eucalyptus_urophylla,Myrtales,Myrtaceae,1,1,1
Eugenia_uniflora,Myrtales,Myrtaceae,1,1,1
Eupomatia_laurina,Magnoliales,Eupomatiaceae,0,1,1
Exacum_affine,Gentianales,Gentianaceae,1,1,1
Exospermum_stipitatum,Canellales,Winteraceae,1,1,0
Ficus_aurata,Rosales,Moraceae,1,1,1
Ficus_beccarii,Rosales,Moraceae,1,0,1
Ficus_benjamina,Rosales,Moraceae,1,1,0
Ficus_condensa,Rosales,Moraceae,0,1,1
Ficus_crassiramea,Rosales,Moraceae,1,1,0
Ficus_deltoidea,Rosales,Moraceae,1,1,1
Ficus_fulva,Rosales,Moraceae,1,1,1
Ficus_megaleia,Rosales,Moraceae,1,1,1
Ficus_microcarpa,Rosales,Moraceae,1,0,0
Ficus_obscura,Rosales,Moraceae,1,1,1
Ficus_punctata,Rosales,Moraceae,1,1,1
Ficus_stolonifera,Rosales,Moraceae,1,1,1
Foeniculum_vulgare,Apiales,Apiaceae,1,1,1
Fritillaria_eduardii,Liliales,Liliaceae,0,1,1
Fritillaria_raddeana,Liliales,Liliaceae,0,1,1
Gallium_aparine,Gentianales,Rubiaceae,1,1,1
Galium_odoratum,Gentianales,Rubiaceae,1,1,1
Geranium_macrorrhizum,Geraniales,Geraniaceae,1,1,1
Geranium_phaeum,Geraniales,Geraniaceae,1,1,1
Glycyrrhiza_echinata,Fabales,Fabaceae,1,1,1
Glycyrrhiza_glabra,Fabales,Fabaceae,1,1,1
Glycyrrhiza_inflata,Fabales,Fabaceae,1,1,1
Gymnema_sylvestre,Gentianales,Apocynaceae,1,1,1
Harrisia_sp,Caryophyllales,Cactaceae,1,1,1
Hedychium_coccineum,Zingiberales,Zingiberaceae,1,1,0
Hedychium_coronarium,Zingiberales,Zingiberaceae,1,1,1
Hedychium_flavescens,Zingiberales,Zingiberaceae,1,1,1
Hedychium_gardnerianum,Zingiberales,Zingiberaceae,1,1,0
Heliotropium_myosotifolium,Boraginales,Boraginaceae,0,1,1
Heliotropium_pycnophyllum,Boraginales,Boraginaceae,1,1,1
Heliotropium_stenophyllum,Boraginales,Boraginaceae,1,1,1
Hibiscus_sp,Malvales,Malvaceae,1,1,1
Hylocereus_sp,Caryophyllales,Cactaceae,1,1,1
Hypericum_barbatum,Malpighiales,Hypericaceae,1,1,1
Hypericum_hirsutum,Malpighiales,Hypericaceae,1,1,1
Hypericum_linarioides,Malpighiales,Hypericaceae,1,1,1
Hypericum_maculatum,Malpighiales,Hypericaceae,1,1,1
Hypericum_olympicum,Malpighiales,Hypericaceae,1,1,1
Hypericum_perforatum,Malpighiales,Hypericaceae,1,1,1
Hypericum_richeri_grisebachii,Malpighiales,Hypericaceae,1,1,1
Hypericum_rumeliacum,Malpighiales,Hypericaceae,1,1,1
Hypericum_tetrapterum,Malpighiales,Hypericaceae,1,1,1
Hyssopus_officinalis,Lamiales,Lamiaceae,1,1,1
Inga_marginata,Fabales,Fabaceae,1,1,0
Jasminum_sp,Lamiales,Oleaceae,1,1,1
Juniperus_communis,Pinales,Cupressaceae,1,1,1
Juniperus_phoenicea,Pinales,Cupressaceae,1,1,0
Kandelia_candel,Malpighiales,Rhizophoraceae,0,0,1
Lathyrus_odoratus,Fabales,Fabaceae,0,1,1
Laurus_nobilis,Laurales,Lauraceae,1,1,1
Lavandula_angustifolia,Lamiales,Lamiaceae,1,1,1
Lawsonia_inermis,Myrtales,Lythraceae,1,1,1
Lecythis_persistens,Ericales,Lecythidaceae,1,1,1
Leontopodium_alpinum,Asterales,Asteraceae,1,1,1
Levisticum_officinale,Apiales,Apiaceae,1,1,1
Ligustrum_japonicum,Lamiales,Oleaceae,1,1,1
Lippia_alba,Lamiales,Verbenaceae,1,1,0
Liriodendron_chinensis,Magnoliales,Magnoliaceae,1,1,1
Liriodendron_tulipifera,Magnoliales,Magnoliaceae,1,1,0
Litsea_cubeba,Laurales,Lauraceae,1,1,0
Lonicera_japonica,Dipsacales,Caprifoliaceae,1,1,1
Lumnitzera_racemosa,Myrtales,Combretaceae,1,1,1
Macrozamia_moorei,Cycadales,Zamiaceae,1,1,1
Magnolia_acuminata,Magnoliales,Magnoliaceae,0,1,1
Magnolia_denudata,Magnoliales,Magnoliaceae,1,1,0
Magnolia_figo,Magnoliales,Magnoliaceae,0,1,0
Magnolia_grandiflora,Magnoliales,Magnoliaceae,1,1,1
Magnolia_obovata,Magnoliales,Magnoliaceae,1,1,1
Magnolia_salicifolia,Magnoliales,Magnoliaceae,1,1,1
Magnolia_tomentosa,Magnoliales,Magnoliaceae,1,1,1
Magnolia_tripetala,Magnoliales,Magnoliaceae,0,1,1
Magnolia_virginiana,Magnoliales,Magnoliaceae,1,1,1
Malus_domestica,Rosales,Rosaceae,1,1,1
Mangifera_indica,Sapindales,Anacardiaceae,1,1,1
Marrubium_peregrinum,Lamiales,Lamiaceae,1,1,1
Marrubium_vulgare,Lamiales,Lamiaceae,1,1,1
Matricaria_chamomilla,Asterales,Asteraceae,1,1,1
Matricara_recutita,Asterales,Asteraceae,1,1,1
Melaleuca_sp,Myrtales,Myrtaceae,1,1,1
Melissa_officinalis,Lamiales,Lamiaceae,1,1,1
Mentha_arvensis,Lamiales,Lamiaceae,1,1,0
Mentha_canadensis,Lamiales,Lamiaceae,1,1,1
Mentha_longifolia,Lamiales,Lamiaceae,1,1,1
Mentha_spicata,Lamiales,Lamiaceae,1,1,1
Meum_athamanticum,Apiales,Apiaceae,1,1,1
Mikania_glomerata,Asterales,Asteraceae,1,1,0
Monarda_citriodora,Lamiales,Lamiaceae,1,1,1
Monardo_didyma,Lamiales,Lamiaceae,1,1,1
Murraya_koenigii,Sapindales,Rutaceae,1,1,1
Myristica_fragrans,Magnoliales,Myristicaceae,1,1,1
Myrtus_communis,Myrtales,Myrtaceae,1,1,1
Mystacidium_venosum,Asparagales,Orchidaceae,1,1,1
Naregamia_alata,Sapindales,Meliaceae,1,1,1
Nelumbo_nucifera,Proteales,Nelumbonaceae,1,1,1
Neofinetia_falcata,Asparagales,Orchidaceae,1,1,1
Nepeta_cataria,Lamiales,Lamiaceae,1,1,1
Nyctanthes_arbortristis,Lamiales,Oleaceae,1,1,1
Nypa_fruticans,Arecales,Arecaceae,1,1,1
