Taxa_Tips,Order,Family,M0,M1,M2,M3,M4,M5,M6
Abies_alba,Pinales,Pinaceae,0,1,1,0,0,0,1
Abies_cephalonica,Pinales,Pinaceae,0,1,1,0,0,0,1
Abies_sachalinensis,Pinales,Pinaceae,0,1,1,1,1,1,1
Acacia_caven,Fabales,Fabaceae,1,1,1,1,1,0,0
Achillea_ageratum,Asterales,Asteraceae,1,1,1,1,0,1,1
Achillea_millefolium,Asterales,Asteraceae,1,1,1,1,0,1,1
Acnistus_arborescens,Solanales,Solanaceae,0,1,0,1,0,0,1
Acorus_calamus,Acorales,Acoraceae,1,1,1,1,1,0,1
Acteae_asiatica,Ranunculales,Ranunculaceae,1,1,0,1,0,1,1
Acteae_japonica,Ranunculales,Ranunculaceae,0,1,0,1,0,0,1
Actaea_pachypoda,Ranunculales,Ranunculaceae,0,1,1,1,0,0,1
Actaea_rubra,Ranunculales,Ranunculaceae,1,1,1,1,0,1,1
Actaea_simplex,Ranunculales,Ranunculaceae,0,1,1,1,0,0,1
Actaea_spicata,Ranunculales,Ranunculaceae,0,1,1,1,0,0,1
Actinidia_chinensis,Ericales,Actinidiaceae,1,1,1,1,1,1,1
Aerangis_confusa,Asparagales,Orchidaceae,0,0,1,1,0,0,1
Aerangis_kirkii,Asparagales,Orchidaceae,0,0,1,1,0,0,1
Aesculus_hippocastanum,Sapindales,Sapindaceae,1,1,1,1,0,1,1
Aframomum_sp,Zingiberales,Zingiberaceae,0,1,0,1,0,0,1
Ageratum_conyzoides,Asterales,Asteraceae,1,1,1,1,0,0,1
Allamanda_cathartica,Gentianales,Apocynaceae,0,1,1,1,0,0,1
Allium_fistulosum,Asparagales,Amaryllidaceae,1,0,0,1,0,1,0
Aloysia_citriodora,Lamiales,Verbenaceae,0,1,1,1,0,0,1
Aloysia_triphylla,Lamiales,Verbenaceae,1,1,1,1,1,0,1
Alpinia_galanga,Zingiberales,Zingiberaceae,0,1,1,1,0,1,1
Alpinia_purpurata,Zingiberales,Zingiberaceae,0,1,1,0,0,0,0
Alpinia_zerumbet,Zingiberales,Zingiberaceae,0,1,1,1,0,0,0
Ammandra_decasperma,Arecales,Arecaceae,0,0,1,1,0,0,0
Amomum_subulatum,Zingiberales,Zingiberaceae,0,1,1,1,0,0,1
Anacardium_occidentale,Sapindales,Anacardiaceae,1,1,1,1,1,1,1
Anaphalis_contorta,Asterales,Asteraceae,0,1,1,0,0,0,0
Anethuum_graveolens,Apiales,Apiaceae,0,1,1,1,0,1,1
Angelica_sylvestris,Apiales,Apiaceae,1,1,1,1,0,0,1
Annona_sp,Magnoliales,Annonaceae,1,1,1,0,0,1,1
Anthriscus_cerefolium,Apiales,Apiaceae,1,1,0,1,0,0,0
Antirrhinum_majus,Lamiales,Plantaginaceae,0,0,0,1,0,0,1
Aphandra_natalia,Arecales,Arecaceae,1,1,1,1,0,1,1
Apium_graveolens,Apiales,Apiaceae,0,1,0,0,0,1,0
Arnica_montana,Asterales,Asteraceae,1,1,1,1,0,0,0
Artemisia_annua,Asterales,Asteraceae,0,1,1,1,0,1,1
Avicennia_marina,Lamiales,Acanthaceae,0,0,1,1,0,1,1
Backhousia_citriodora,Myrtales,Myrtaceae,0,0,0,0,0,0,1
Bartsia_alpinia,Lamiales,Orobanchaceae,0,0,0,1,0,1,1
Bauhinia_sp,Fabales,Fabaceae,0,1,1,1,0,0,1
Berberis_vulgaris,Ranunculales,Berberidaceae,1,1,1,1,0,1,1
Boswellia_sp,Sapindales,Burseraceae,0,1,1,1,0,0,1
Brassica_rapa,Brassicales,Brassicaceae,0,0,0,1,0,1,0
Bruguiera_gymnorrhiza,Malpighiales,Rhizophoraceae,0,0,0,1,0,0,1
Bubbia_sp,Canellales,Winteraceae,0,0,0,0,0,1,0
Calendula_officinalis,Asterales,Asteraceae,1,1,1,1,0,0,1
Callistemon_citrinus,Myrtales,Myrtaceae,0,1,1,1,0,1,1
Callistemon_viminalis,Myrtales,Myrtaceae,0,1,0,0,0,0,1
Cananga_odorata,Magnoliales,Annonaceae,0,0,1,1,0,0,1
Carduus_pycnocephalus,Asterales,Asteraceae,1,1,1,1,1,0,0
Carum_carvi,Apiales,Apiaceae,1,1,1,1,0,0,1
Caryopteris_sp,Lamiales,Lamiaceae,0,1,1,1,0,0,1
Cassytha_filiformis,Laurales,Lauraceae,0,0,1,0,0,0,0
Catharanthus_roseus,Gentianales,Apocynaceae,1,1,1,1,1,0,1
Causonia_japonica,Vitales,Vitaceae,1,1,1,1,0,0,1
Ceiba_pentandra,Malvales,Malvaceae,1,1,0,0,1,0,0
Centaurea_armena,Asterales,Asteraceae,1,1,1,1,0,1,1
Centaurea_depressa,Asterales,Asteraceae,1,1,1,0,1,0,1
Centella_asiatica,Apiales,Apiaceae,1,1,1,1,0,0,1
Centratherum_punctatum,Asterales,Asteraceae,0,1,1,1,0,1,1
Chamaemelum_nobile,Asterales,Asteraceae,1,1,1,0,0,1,1
Chloranthus_spicatus,Chloranthales,Chloranthaceae,0,1,1,0,0,1,1
Chrysactinia_mexicana,Asterales,Asteraceae,0,1,1,1,0,0,1
Chrysanthemum_coronarium,Asterales,Asteraceae,0,1,1,0,0,0,1
Chrysopogon_nigritanus,Poales,Poaceae,0,0,1,0,0,0,0
Chrysopogon_zizanioides,Poales,Poaceae,0,1,1,1,0,0,1
Chukrasia_tabularis,Sapindales,Meliaceae,0,1,1,1,0,0,1
Cinnamomum_verum,Laurales,Lauraceae,0,1,0,1,0,0,1
Cistus_ladanifer,Malvales,Cistaceae,0,1,1,1,0,0,1
Citrus_limon,Sapindales,Rutaceae,0,1,1,1,0,0,1
Clinopodium_vulgare,Lamiales,Lamiaceae,1,1,1,0,1,0,1
Conopodium_majus,Apiales,Apiaceae,1,1,1,1,0,0,1
Coriandrum_sativum,Apiales,Apiaceae,1,1,1,1,0,0,1
Coryanthes_macrantha,Asparagales,Orchidaceae,0,1,0,1,0,0,1
Coryanthes_speciosa,Asparagales,Orchidaceae,0,1,0,0,0,0,1
Corymbia_citriodora,Myrtales,Myrtaceae,0,1,1,1,0,0,1
Couroupita_guianensis,Ericales,Lecythidaceae,0,0,1,1,0,0,1
Crassocephalum_crepidiodes,Asterales,Asteraceae,0,1,1,1,0,0,1
Crinum_sp,Asparagales,Amaryllidaceae,1,1,0,1,0,0,1
Crithmum_maritimum,Apiales,Apiaceae,0,1,1,1,1,1,1
Cuminum_cyminum,Apiales,Apiaceae,0,1,1,1,0,0,1
Cupressus_sempervirens,Pinales,Cupressaceae,0,1,1,1,0,0,1
Cycas_rumphii,Cycadales,Cycadaceae,1,1,0,1,0,1,1
Cyclamen_persicum,Ericales,Primulaceae,1,1,1,1,1,0,1
Cyclamen_purpurascens,Ericales,Primulaceae,1,1,1,1,1,0,1
Cyclanthus_bipartitus,Pandanales,Cyclanthaceae,0,1,0,1,0,1,1
Cymbidium_faberi,Asparagales,Orchidaceae,1,1,1,1,0,1,1
Cymbopogon_citratus,Poales,Poaceae,0,1,1,1,0,0,1
Cymbopogon_flexuosus,Poales,Poaceae,0,1,1,1,0,0,1
Cymbopogon_martinii,Poales,Poaceae,0,0,1,0,0,0,1
Cymbopogon_nardus,Poales,Poaceae,1,1,1,1,1,0,1
Cymbopogon_winterianus,Poales,Poaceae,0,1,1,1,0,0,1
Cyperus_articulatus,Poales,Cyperaceae,0,1,0,1,0,0,1
Cyperus_rotundus,Poales,Cyperaceae,0,1,1,0,0,0,0
Daphne_mezereum,Malvales,Thymelaeaceae,0,0,0,1,1,0,1
Dianthus_arenarius,Caryophyllales,Caryophyllaceae,1,1,1,1,0,0,1
Dianthus_armenia,Caryophyllales,Caryophyllaceae,1,1,1,1,0,0,1
Dianthus_barbatus,Caryophyllales,Caryophyllaceae,1,1,1,1,0,0,1
Dianthus_deltoides,Caryophyllales,Caryophyllaceae,1,1,0,1,0,0,1
Dianthus_glacialis,Caryophyllales,Caryophyllaceae,1,1,1,1,0,1,1
Dianthus_monspessulanus,Caryophyllales,Caryophyllaceae,1,1,1,1,0,0,1
Dianthus_superbus,Caryophyllales,Caryophyllaceae,1,1,1,1,0,0,1
Dianthus_sylvestris,Caryophyllales,Caryophyllaceae,1,0,1,1,0,0,1
Dictamnus_albus,Sapindales,Rutaceae,1,1,1,1,1,1,1
Dracocephalum_moldavica,Lamiales,Lamiaceae,0,1,1,1,0,1,1
Elsholtzia_blanda,Lamiales,Lamiaceae,0,1,1,1,0,0,1
Elsholtzia_ciliata,Lamiales,Lamiaceae,0,1,1,1,0,0,1
Elsholtzia_densa,Lamiales,Lamiaceae,0,1,1,1,0,0,0
Elsholtzia_fruticosa,Lamiales,Lamiaceae,0,1,1,1,0,0,1
