Feature,Importance_permutation,Rank
camphene,0.017985612,Order
a-terpineol,0.016546763,Order
terpinylacetate,0.013669065,Order
germacrene D,0.010791367,Order
b-Elemene,0.010791367,Order
b-Caryophyllene oxide,0.010071942,Order
4-terpineol,0.010071942,Order
"E,E-farnesol",0.010071942,Order
elemicin,0.008633094,Order
methyl eugenol,0.008633094,Order
copaene,0.007913669,Order
d-cadinene,0.007913669,Order
cis-jasmin lactone,0.007913669,Order
ExtFP293,0.007913669,Order
Artemisia ketone,0.007913669,Order
ExtFP602,0.007194245,Order
E-b-damascenone,0.007194245,Order
ExtFP355,0.007194245,Order
humulene epoxide II,0.007194245,Order
Sylvestrene,0.007194245,Order
ExtFP326,0.007194245,Order
DL-Linalool,0.00647482,Order
cis-p-menth-2-en-1-ol,0.00647482,Order
Pentadecane,0.00647482,Order
germacrene B,0.00647482,Order
E-methyl isoeugenol,0.00647482,Order
Pinene,0.00647482,Order
benzyl tiglate,0.00647482,Order
a-phellandrene,0.005755396,Order
isobornyl acetate,0.005755396,Order
b-ocimene,0.005755396,Order
Sabinene,0.005035971,Order
ExtFP391,0.005035971,Order
ExtFP95,0.005035971,Order
ExtFP194,0.004316547,Order
ExtFP223,0.004316547,Order
a-muurolene,0.004316547,Order
Octen-3-ol,0.004316547,Order
E-caryophyllene,0.003597122,Order
ExtFP119,0.003597122,Order
methyl benzoate,0.003597122,Order
ExtFP232,0.003597122,Order
a-cadinol,0.003597122,Order
ExtFP447,0.003597122,Order
a-humulene,0.003597122,Order
ExtFP920,0.003597122,Order
ExtFP880,0.003597122,Order
ExtFP335,0.003597122,Order
ExtFP459,0.003597122,Order
ExtFP747,0.003597122,Order
ExtFP422,0.002877698,Order
ExtFP108,0.002877698,Order
ExtFP138,0.002877698,Order
Limonene,0.002877698,Order
ExtFP903,0.002877698,Order
ExtFP545,0.002877698,Order
ExtFP179,0.002158273,Order
ExtFP171,0.002158273,Order
ExtFP468,0.002158273,Order
ExtFP13,0.002158273,Order
ExtFP104,0.002158273,Order
g-muurolene,0.002158273,Order
ExtFP269,0.002158273,Order
ExtFP17,0.002158273,Order
ExtFP412,0.002158273,Order
