"Supplementary_Data_1. List of plant species selected for the study, including details of the plant part used, extraction method, and corresponding references. The database(s) referred to for data collection are also included.",,,,,
Taxa,Plant part_Methodology,Year,Author_Year,Database,References
Melissa Officinalis,Leaves,2014,Abdellatif,AROMADB-CIMAP,"Abdellatif, F., Boudjella, H., Zitouni, A., & Hassani, A. (2014). Chemical composition and antimicrobial activity of the essential oil from leaves of Algerian Melissa officinalis L. EXCLI journal, 13, 772."
Centratherum punctatum,Leaves/Essential Oil,2009,"Adebayo A. Gbolade,Ana M. Dzamic, Mihailo S. Ristic,and Petar D. Marin/2009",AROMADB-CIMAP,"Gbolade, A. A., Dzamic, A. M., Ristic, M. S., & Marin, P. D. (2009). Essential oil composition of Centratherum punctatum from Nigeria. Chemistry of Natural Compounds, 45(1), 118-119."
Apium graVeolens L,Essential Oil,2007,ALFREDA WEI AND TAKAYUKI SHIBAMOTO/2007,AROMADB-CIMAP,"Wei, A., & Shibamoto, T. (2007). Antioxidant activities and volatile constituents of various essential oils. Journal of agricultural and food chemistry, 55(5), 1737-1742."
Jasminum officinale L.,Essential Oil,2007,ALFREDA WEI AND TAKAYUKI SHIBAMOTO/2007,AROMADB-CIMAP,"Wei, A., & Shibamoto, T. (2007). Antioxidant activities and volatile constituents of various essential oils. Journal of agricultural and food chemistry, 55(5), 1737-1742."
Juniperus communis L.,Essential Oil,2007,ALFREDA WEI AND TAKAYUKI SHIBAMOTO/2007,AROMADB-CIMAP,"Wei, A., & Shibamoto, T. (2007). Antioxidant activities and volatile constituents of various essential oils. Journal of agricultural and food chemistry, 55(5), 1737-1742."
Petroselinum satiVum H.,Essential Oil,2007,ALFREDA WEI AND TAKAYUKI SHIBAMOTO/2007,AROMADB-CIMAP,"Wei, A., & Shibamoto, T. (2007). Antioxidant activities and volatile constituents of various essential oils. Journal of agricultural and food chemistry, 55(5), 1737-1742."
Pogostemon patchouli B.,Essential Oil,2007,ALFREDA WEI AND TAKAYUKI SHIBAMOTO/2007,AROMADB-CIMAP,"Wei, A., & Shibamoto, T. (2007). Antioxidant activities and volatile constituents of various essential oils. Journal of agricultural and food chemistry, 55(5), 1737-1742."
Rosa Damascena M.,Essential Oil,2007,ALFREDA WEI AND TAKAYUKI SHIBAMOTO/2007,AROMADB-CIMAP,"Wei, A., & Shibamoto, T. (2007). Antioxidant activities and volatile constituents of various essential oils. Journal of agricultural and food chemistry, 55(5), 1737-1742."
"Cananga odorata H. &
T.",Essential Oil,2007,ALFREDA WEI AND TAKAYUKI SHIBAMOTO/2007,AROMADB-CIMAP,"Wei, A., & Shibamoto, T. (2007). Antioxidant activities and volatile constituents of various essential oils. Journal of agricultural and food chemistry, 55(5), 1737-1742."
Carduus pycnocephalus_Saudi,Aerial_EO,2012,Al-Shammari_2012,AROMADB-CIMAP,"Al-Shammari, L. A., Hassan, W. H., & Al-Youssef, H. M. (2012). Chemical composition and antimicrobial activity of the essential oil and lipid content of Carduus pycnocephalus L. growing in Saudi Arabia. Journal of Chemical and Pharmaceutical Research, 4(2), 1281-1287."
