"Supplementary_Data_4. Details of the plant species used for phylogenetic reconstruction, including accession numbers obtained from NCBI. ",,
Sl No,Species,Nuclear_accessions
1,Abies alba,JN177292.1
2,Abies cephalonica,EF057697.1
3,Abies sachalinensis,JF499945.1
4,Acacia caven,KY321070.1
5,Achillea ageratum,AY603214.1
6,Achillea millefolium,AY603185.1
7,Acnistus arborescens,DQ314183.1
8,Acorus calamus ,DQ008848.1
9,Actaea asiatica,LC489142.1
10,Actaea japonica,LC672594.1
11,Actaea pachypoda,MG236389.1
12,Actaea rubra ,MG236091.1
13,Actaea simplex ,AB777781.1
14,Actaea spicata,JQ033579.1
15,Actinidia chinensis ,KR819508.1
16,Aerangis confusa,DQ091595.1
17,Aerangis kirkii,DQ091596.1
18,Aesculus hippocastanum,ON685381.1
19,Aframomum stipulatum,AF478706.1
20,Ageratum conyzoides,KT779100.1
21,Allamanda cathartica,LC076499.1
22,Allium fistulosum,FJ664288.1
23,Aloysia citriodora,KY411902.1
24,Aloysia triphylla,EU761080.1
25,Alpinia galanga,AH008304.2
26,Alpinia purpurata,OR786951.1
27,Alpinia zerumbet,AH008314.2
28,Ammandra decasperma ,FJ719004.1
29,Amomum subulatum,OR786973.1
30,Anacardium occidentale ,AB071690.1
31,Anaphalis contorta,JQ895426.1
32,Anethum graveolens,AH003470.2
33,Angelica sylvestris,MT735583.1
34,Annona reticulata,GQ139686.1
35,Anthriscus cerefolium ,AH003469.2
36,Antirrhinum majus,OK523398.1
37,Aphandra natalia ,FJ719003.1
38,Apium graVeolens ,AH003471.2
39,Arnica montana,HM032736.1
40,Artemisia annua,KT965671.1
41,Avicennia marina,MF063712.1
42,Backhousia citriodora,KM064898.1
43,Bartsia alpina ,JF900505.1
44,Bauhinia pulchella,AF387974.1
45,Berberis vulgaris ,AH013487.2
46,Boswellia thurifera,AF080063.1
47,Brassica rapa,KX824456.1
48,Bruguiera gymnorrhiza ,AF328959.1
49,Bubbia pauciflora,AY004123.1
50,Calendula officinalis,JN315941.1
51,Callistemon citrinus,KM064922.1
52,Callistemon viminalis,KM064995.1
53,Cananga odorata,MF349161.1
54,Carduus pycnocephalus,EF123105.1
55,Carum carvi,JQ792211.1
56,Caryopteris odorata,EF508064.1
57,Cassytha filiformis,MF063736.1
58,Catharanthus roseus,HQ130657.2
59,Causonis japonica,MW583106.1
60,Ceiba pentandra,MW192509.1
61,Centaurea armena,DQ319085.1
62,Centaurea depressa ,AY826255.1
63,Centella asiatica,AF272352.1
64,Centratherum punctatum,EF155754.1
65,Chamaemelum nobile,AH011697.2
66,Chloranthus spicatus,AF280411.1
67,Chrysactinia mexicana,KJ524912.1
68,Chrysanthemum coronaria,JN315939.1
69,Chrysopogon nigritanus,OM677807.1
70,Chrysopogon zizanioides,GQ856337.1
71,Chukrasia tabularis,FJ518894.1
72,Cinnamomum verum,KX766399.1
73,Cistus ladanifer,KY651257.1
74,Citrus limon ,AB456128.1
75,Clinopodium vulgare,AY506632.1
76,Conopodium majus,MK142892.1
77,Coriandrum sativum,LC633820.1
78,Coryanthes macrantha,AF239359.1
79,Coryanthes speciosa,KM458408.1
80,Corymbia citriodora,KM065056.1
81,Couroupita guianensis,JN222144.1
82,CRASSOCEPHALUM CREPIDIOIDES,EF538173.1
83,Crinum latifolim,AY139151.1
84,Crithmum maritimum,AH003474.2
85,Cuminum cyminum,KT347713.1
86,Cupressus sempervirens ,FJ705221.1
87,Cycas rumphii,AB076205.1
88,Cyclamen persicum ,AF164011.1
89,Cyclamen purpurascens ,MH908862.1
90,Cyclanthus bipartitus,JN016949.1
91,Cymbidium faberi ,AF284721.1
92,Cymbopogon citratus,AF019823.1
93,Cymbopogon flexuosus,DQ005036.1
94,Cymbopogon martinii,DQ005037.1
95,Cymbopogon nardus,KT309074.1
96,Cymbopogon winterianus,KT309076.1
97,Cyperus articulatus,KF150538.1
98,Cyperus rotundus,MH768132.1
99,Daphne mezereum,GQ167543.1
100,Dianthus arenarius,KC293971.1
101,Dianthus armeria,GU440780.1
102,Dianthus barbatus,GU440783.1
103,Dianthus deltoides,GU440810.1
104,Dianthus glacialis,GU440821.1
105,Dianthus monspessulanus,KC293977.1
106,Dianthus superbus,GU440867.1
107,Dianthus sylvestris,KC293989.1
108,Dictamnus albus,OR825000.1
109,Dracocephalum moldavica,AY506659.1
110,Elsholtzia blanda,KY552492.1
111,Elsholtzia ciliata,LC605866.1
112,Elsholtzia densa,KY552501.1
113,Elsholtzia fruticosa,KY552511.1
114,Encephalartos altensteinii,JQ046167.1
115,Epidendrum ciliare,KM495134.1
116,Espostoa blossfeldiorum,MW441797.1
117,Eucalyptus alba,AF390485.1
118,Eucalyptus camaldulensis,HM596038.1
119,Eucalyptus deglupta,AF390521.1
120,Eucalyptus globulus,AF058463.1
121,Eucalyptus propinqua,KT631288.1
122,Eucalyptus robusta,MG730218.1
123,Eucalyptus saligna,KM064960.1
124,Eucalyptus tereticornis,AF390482.1
125,Eucalyptus urophylla,AF390492.1
126,Eugenia uniflora,KM064994.1
127,Eupomatia laurina,OL536482.1
128,Exacum affine,OL536483.1
129,Exospermum stipitatum,AY004121.1
130,Ficus aurata,AY063590.1
131,Ficus beccarii,EU091621.1
132,Ficus benjamina ,JQ773842.1
133,Ficus condensa ,AY063577.1
134,Ficus crassiramea ,EU091585.1
135,Ficus deltoidea ,AY063579.1
136,Ficus fulva,KX055695.1
137,Ficus megaleia ,EU091625.1
138,Ficus microcarpa ,AB485852.1
139,Ficus obscura,EU091676.1
140,Ficus punctata ,AF165403.1
141,Ficus stolonifera ,EU091635.1
142,Foeniculum vulgare,AY581806.1
143,Fritillaria eduardii,PP165385.1
144,Fritillaria raddeana,KM435155.1
145,Galium aparine,AF419192.1
146,Galium odoratum ,MG906001.1
147,Geranium macrorrhizum,DQ525073.1
148,Geranium phaeum,DQ525078.1
149,Glycyrrhiza echinata,PP158760.1
150,Glycyrrhiza glabra,AB280739.1
151,Glycyrrhiza inflata,AB280740.1
152,Gymnema sylvestre,MW226561.1
153,Harrisia adscendens,MW441800.1
154,Hedychium coccineum,AB968054.1
155,Hedychium coronarium,AB968058.1
156,Hedychium flavescens,AF478758.1
157,Hedychium gardnerianum ,AY424759.1
158,Heliotropium myosotifolium,HQ286107.1
159,Heliotropium pycnophyllum,EF688868.1
160,Heliotropium stenophyllum,EF688899.1
161,Hibiscus surrattensis,KX984254.1
162,Hylocereus polyrhizus,JX289761.1
163,Hypericum barbatum,FJ694192.1
164,Hypericum hirsutum,FJ694203.1
165,Hypericum linarioides,KC709352.1
166,Hypericum maculatum,AY555842.1
167,Hypericum olympicum,FJ694212.1
168,Hypericum perforatum,GU596502.1
169,Hypericum richeri,FJ694222.1
170,Hypericum rumeliacum,KC709311.1
171,Hypericum tetrapterum,FJ694224.1
172,Hyssopus officinalis,OL863098.1
173,Inga marginata,GU013173.1
174,Jasminum officinale ,AF361301.1
175,Juniperus communis ,LC420950.1
176,Juniperus phoenicea,GU197870.1
177,Kandelia candel ,AF105081.1
178,Lathyrus odoratus,AY839377.1
179,Laurus nobilis,MT113320.1
180,Lavandula angustifolia,EF437225.1
181,Lawsonia inermis,KY515318.1
182,Lecythis persistens,JN222277.1
183,Leontopodium alpinum,FJ639920.1
184,Levisticum officinale,LC773997.1
185,Ligustrum japonicum,AB610488.1
186,Lippia alba,EU761078.1
187,Liriodendron chinense ,MN990525.1
188,Liriodendron tulipifera ,MN990553.1
189,Litsea cubeba,AB260863.1
190,Lonicera Japonica ,EU240693.1
191,Lumnitzera racemosa ,AF160467.1
192,Macrozamia moorei,AB076227.1
193,Magnolia acuminata,MN990523.1
194,Magnolia denudata,MN990546.1
195,Magnolia figo,KP092906.1
196,Magnolia grandiflora,MN990522.1
197,Magnolia obovata,MN990498.1
198,Magnolia salicifolia,MN990517.1
199,Magnolia tomentosa,KU853490.1
200,Magnolia tripetala ,MN990535.1
201,Magnolia virginiana ,DQ499097.1
202,Malus domestica,AF186484.1
203,Mangifera indica,AB598050.1
204,Marrubium peregrinum,MH684972.1
205,Marrubium vulgare,MH684981.1
206,Matricaria chamomilla ,MH537771.1
207,Matricaria recutita,EU179212.1
208,Melaleuca alternifolia,KM065046.1
209,Melissa officinalis,MK425905.1
210,Mentha arvensis,DQ667325.1
211,Mentha canadensis,KC473228.1
212,Mentha longifolia,KR611531.1
213,Mentha spicata,DQ667244.1
214,Meum athamanticum ,AF077900.1
215,Mikania glomerata,KU295378.1
216,Monarda citriodora,AF369179.1
217,Monarda didyma,AF369195.1
218,Murraya koenigii,OK574479.1
219,Myristica fragrans,KP406145.1
220,Myrtus communis,GU984341.1
221,Mystacidium venosum ,MF980244.1
222,Naregamia alata,DQ861629.1
223,Nelumbo nucifera,AF136290.1
224,Neofinetia falcata,AY912262.1
225,Nepeta cataria,DQ667301.1
226,Nyctanthes arbor-tristis,MW046251.1
227,Nypa fruticans ,MH244012.1
228,Ocimum americanum,GU810517.1
229,Ocimum basilicum,GU810522.1
230,Ocimum tenuiflorum,GU810519.1
231,Ocotea meziana,MK507276.2
232,Ocotea sinuata,KX509876.1
233,Ocotea valeriana,MK507292.2
234,Ocotea veraguensis,AF272319.1
235,Oenanthe crocata,AY360247.1
236,Olea europaea ,KU528507.1
237,Oliveria decumbens,MT254209.1
238,Ophrys exaltata,AY699970.1
239,Origanum majorana,JX162957.1
240,Origanum vulgare,EU252129.1
241,Parkia biglobosa ,MW114943.1
242,Pelargonium endlicherianum,MF150980.1
243,Pelargonium graveolens,MK670360.1
244,Pemphis acidula ,MH768222.1
245,Pereskia aculeata,JF508526.1
246,Peristeria elata ,AF239346.1
247,Petroselinum crispum,KJ473882.1
248,Phalaenopsis equestris,AY912225.1
249,Phalaenopsis schilleriana ,AY912250.1
250,Phlox,AF167186.1
251,Phytelephas aequatorialis,MK683212.1
252,Phytelephas macrocarpa ,FJ719008.1
253,Phytelephas seemannii ,MK692130.1
254,Pilosocereus pachycladus,OP188781.1
255,Pimpinella saxifraga ,AH003548.2
256,Piper auritum,AF275175.1
257,Pistacia vera,KJ018022.1
258,Plantago ovata,AY101903.1
259,Plumeria rubra,HQ130659.2
260,Pogostemon cablin,KR608757.1
261,Posoqueria latifolia,MK607933.1
262,Prunus armeniaca,MN722065.1
263,Prunus avium,HM856805.1
264,Prunus domestica,FJ899098.1
265,Prunus padus,AF143533.1
266,Prunus persica,MN722060.1
267,Pyrus communis,AB441755.1
268,Ranunculus acris,LC554301.1
269,Rhizophora stylosa,AF105082.1
270,Ribes nigrum,AF426374.1
271,Rosa chinensis,FJ527685.1
272,Rosa gallica,AB043824.1
273,Rosa gigantea,MK612773.1
274,Rosmarinus officinalis,EU796893.1
275,Salix caprea,LC806409.1
276,Salix cinerea,AB685287.1
277,Salix repens,AB685300.1
278,Salvia fruticosa,KJ584195.1
279,Salvia officinalis,MK425928.1
280,Salvia sclarea,MK425937.1
281,Santalum album ,MH547587.1
282,Saponaria officinalis,KX183983.1
283,Satureja hortensis,MH645775.1
284,Sauromatum ,MH710779.1
285,Saussurea costus,AY914821.1
286,Schinus molle,AY641512.1
287,Selenicereus grandiflorus,JX289795.1
288,Selenicereus hamatus,JX289762.1
289,Sonneratia alba ,AH010519.2
290,Stachys byzantina,KF529578.1
291,Syringa oblata ,OM777103.1
292,Tagetes minuta,KC800429.1
293,Tanacetum parthenium,EF577320.1
294,Thevetia peruviana,MH844590.1
295,Thymus pulegioides,OR622582.1
296,Thymus vulgaris,EU785939.1
297,Tilia flores,KF694729.1
298,Typhonium venosum,HM362769.1
299,Valeriana jatamansi,KX277663.1
300,Viola etrusca,MT367071.1
301,Viola odorata ,HM851451.1
302,Vitis vinifera,MW583073.1
303,Xylopia aromatica,MN114138.1
304,Zamia furfuracea,ON832231.1
305,Zamia pumila,AB076237.1
306,Zingiber officinale,KR816715.1
